"T","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.9882,0,0,0,0.0017292,0.00082554,3.3106e-05
0.98552,0,0,0,0.0017417,0.00083177,-3.3106e-05
0.98552,0,0,0,0.0017417,0.00083177,3.3106e-05
1.0017,0,0,0,0.001757,0.0010439,3.3106e-05
1.0017,0,0,0,0.001757,0.0010439,-3.3106e-05
1.0002,0,0,0,0.001755,0.0010419,-3.3106e-05
1.0002,0,0,0,0.001755,0.0010419,3.3106e-05
0.99809,0,0,0,0.0017625,0.0010501,3.3106e-05
0.99809,0,0,0,0.0017625,0.0010501,-3.3106e-05
1.0053,0,0,0,0.0017608,0.001048,-3.3106e-05
1.0053,0,0,0,0.0017608,0.001048,3.3106e-05
0.99872,0,0,0,0.0017667,0.0011441,-3.3106e-05
0.99872,0,0,0,0.0017667,0.0011441,3.3106e-05
1.0035,0,0,0,0.0017393,0.0012304,-3.3106e-05
1.0035,0,0,0,0.0017393,0.0012304,3.3106e-05
1.0025,0,0,0,0.0017407,0.0013689,-3.3106e-05
1.0025,0,0,0,0.0017407,0.0013689,3.3106e-05
0.98849,0,0,0,0.0017266,0.00082458,-3.3106e-05
0.98849,0,0,0,0.0017266,0.00082458,3.3106e-05
0.99939,0,0,0,0.0017393,0.00083035,-3.3106e-05
0.99939,0,0,0,0.0017393,0.00083035,3.3106e-05
0.95833,0,0,0,0.0017797,0.00089365,-3.3106e-05
0.95833,0,0,0,0.0017797,0.00089365,3.3106e-05
1.0071,0,0,0,0.0017589,0.0010459,-3.3106e-05
1.0071,0,0,0,0.0017589,0.0010459,3.3106e-05
0.99095,0,0,0,0.0017749,0.0012719,-3.3106e-05
0.99095,0,0,0,0.0017749,0.0012719,3.3106e-05
1.0021,0,0,0,0.0017581,0.001355,-3.3106e-05
1.0021,0,0,0,0.0017581,0.001355,3.3106e-05
0.9868,0,0,0,0.0017763,0.001124,3.3106e-05
0.98996,0,0,0,0.0017754,0.0011266,3.3106e-05
0.98996,0,0,0,0.0017754,0.0011266,-3.3106e-05
0.9868,0,0,0,0.0017763,0.001124,-3.3106e-05
0.9924,0,0,0,0.0017745,0.0011292,3.3106e-05
0.9924,0,0,0,0.0017745,0.0011292,-3.3106e-05
1.0007,0,0,0,0.0017682,0.0011417,3.3106e-05
1.0007,0,0,0,0.0017682,0.0011417,-3.3106e-05
0.9987,0,0,0,0.0017696,0.0011393,-3.3106e-05
0.9987,0,0,0,0.0017696,0.0011393,3.3106e-05
0.9949,0,0,0,0.0017369,0.001229,3.3106e-05
0.9949,0,0,0,0.0017369,0.001229,-3.3106e-05
0.99049,0,0,0,0.0017344,0.0012278,-3.3106e-05
0.99049,0,0,0,0.0017344,0.0012278,3.3106e-05
0.97359,0,0,0,0.0017789,0.0013131,3.3106e-05
0.97359,0,0,0,0.0017789,0.0013131,-3.3106e-05
0.96992,0,0,0,0.0017793,0.0013104,-3.3106e-05
0.96992,0,0,0,0.0017793,0.0013104,3.3106e-05
0.99684,0,0,0,0.00176,0.0013529,-3.3106e-05
0.99684,0,0,0,0.00176,0.0013529,3.3106e-05
1.0062,0,0,0,0.0017476,0.0013643,3.3106e-05
1.0062,0,0,0,0.0017476,0.0013643,-3.3106e-05
1.0029,0,0,0,0.0017454,0.0013659,3.3106e-05
1.0029,0,0,0,0.0017454,0.0013659,-3.3106e-05
1.0032,0,0,0,0.0017307,0.0013739,3.3106e-05
1.0032,0,0,0,0.0017307,0.0013739,-3.3106e-05
1.0055,0,0,0,0.0017369,0.00082901,-3.3106e-05
1.0055,0,0,0,0.0017369,0.00082901,3.3106e-05
0.99346,0,0,0,0.0017715,0.00086424,3.3106e-05
0.99346,0,0,0,0.0017715,0.00086424,-3.3106e-05
0.9899,0,0,0,0.0017702,0.00086177,-3.3106e-05
0.9899,0,0,0,0.0017702,0.00086177,3.3106e-05
0.99542,0,0,0,0.0017529,0.00104,-3.3106e-05
0.99542,0,0,0,0.0017529,0.00104,3.3106e-05
0.99479,0,0,0,0.0017643,0.0010524,3.3106e-05
0.99479,0,0,0,0.0017643,0.0010524,-3.3106e-05
0.98304,0,0,0,0.0017771,0.0011213,3.3106e-05
0.98304,0,0,0,0.0017771,0.0011213,-3.3106e-05
0.97899,0,0,0,0.0017778,0.0011186,-3.3106e-05
0.97899,0,0,0,0.0017778,0.0011186,3.3106e-05
0.98572,0,0,0,0.0017292,0.0012255,3.3106e-05
0.98289,0,0,0,0.0017318,0.0012266,3.3106e-05
0.98289,0,0,0,0.0017318,0.0012266,-3.3106e-05
0.98572,0,0,0,0.0017292,0.0012255,-3.3106e-05
0.96677,0,0,0,0.0017796,0.0013076,-3.3106e-05
0.96677,0,0,0,0.0017796,0.0013076,3.3106e-05
0.99755,0,0,0,0.0017618,0.0013508,-3.3106e-05
0.99755,0,0,0,0.0017618,0.0013508,3.3106e-05
1.0056,0,0,0,0.001743,0.0013674,3.3106e-05
1.0056,0,0,0,0.001743,0.0013674,-3.3106e-05
0.99434,0,0,0,0.0017344,0.00082778,3.3106e-05
0.99434,0,0,0,0.0017344,0.00082778,-3.3106e-05
0.97023,0,0,0,0.0017784,0.00091587,3.3106e-05
